,Index number,City,State,River,Jam date,Water year,Jam type,Latitude,Longitude,Gage number,Ahps id,Current condition,Damages
34,20210330213233,Washburn,ME,Aroostook River,03/29/2021,2021,Break-up,-68.045331,46.739861,-,-,released,-
35,20210330213048,Fort Kent,ME,St. John River,03/27/2021,2021,Break-up,-68.743217,47.231741,-,-,released,-
36,20210330212750,Keegan,ME,St. John River,03/27/2021,2021,Break-up,-67.966773,47.202428,-,-,released,-
37,20210316203958,Sheboygan,WI,Sheboygan River,03/10/2021,2021,Break-up,-87.752222,43.741389,-,SEBW3,released,-
38,20210309202902,Buffalo,NY,Cazenovia Creek,03/07/2021,2021,Break-up,-78.82684,42.861034,-,-,released,-
39,20210527202404,Ocean Point,AK,Colville River,05/26/2021,2021,Break-up,-151.306973,70.037926,-,-,not flooding,-
40,20210112222701,Fort Fairfield,ME,Aroostook River,12/26/2020,2021,Break-up,-67.835,46.774652,-,WSHM1,released,-
41,20210112223249,Grand Isle,ME,St. John River,12/26/2020,2021,Break-up,-68.133938,47.294809,-,FTKM1,released,-
42,20210420204957,Anchor Point,AK,Anchor River,04/19/2021,2021,Break-up,-151.836389,59.772222,-,APBA2,released,-
43,20210203184540,Algonac,MI,St. Clair River,02/02/2021,2021,Freeze-up,-82.520647,42.617578,-,-,released,-
44,20210129203338,Latham Park,IL,Rock River,01/29/2021,2021,Freeze-up,-89.058333,42.368611,-,LATI2,released,-
45,20210105223414,Lewellen,NE,North Platte River,12/31/2020,2021,Freeze-up,-102.125556,41.316944,-,lewn1,released,-
46,20210105222801,Three Forks,MT,Jefferson River,12/27/2020,2021,Unknown,-111.595833,45.897778,-,tfkm8,released,-
47,20210105222411,Portage,WI,Wisconsin River,12/28/2020,2021,Unknown,-89.47383,43.53635,-,porw3,released,-
48,20210202211033,Fremont,NE,Platte River,01/29/2021,2021,Freeze-up,-96.508261,41.405484,-,NBDN1,released,-
49,20210202210846,Genoa,NE,Loup River,01/29/2021,2021,Freeze-up,-97.723611,41.418611,-,GELN1,released,-
50,20210503204758,Gold Creek,AK,Susitna River,05/01/2021,2021,Break-up,-149.691111,62.767778,-,-,released,-
51,20210503204700,Sourdough,AK,Gulkana  River,04/29/2021,2021,Break-up,-145.530833,62.520833,-,-,released,-
52,20210601205122,Umiat,AK,Colville River,06/29/2021,2021,Break-up,-152.106774,69.361213,-,-,not flooding,-
53,20210302174600,Ewing,MO,Middle Fabius River,02/26/2021,2021,Break-up,-91.705556,40.028889,-,EWMM7,released,-
54,20210302174443,Milan,OH,Huron River,02/25/2021,2021,Break-up,-82.60823,41.300885,-,MILO1,released,-
55,20210302174258,Renovo,PA,Kettle Creek,02/24/2021,2021,Break-up,-77.872464,41.312874,-,-,released,-
56,20210302174031,Schuyler,NE,Platte River,02/26/2021,2021,Break-up,-97.060345,41.412975,-,DNCN1,released,"At 649 AM CST, 2/26/2021, emergency management reported water over Highway 15."
57,20210511210254,Circle,AK,Yukon River,05/09/2021,2021,Break-up,-141.710899,65.195374,-,-,released,none reported
58,20210511210056,Circle,AK,Yukon River,05/09/2021,2021,Break-up,-143.773794,65.570632,-,-,released,none reported
59,20210511205923,Eagle,AK,Yukon River,05/07/2021,2021,Break-up,-141.040328,64.73455,-,-,released,none reported
60,20210511205628,Aniak,AK,Kuskokwim River,05/05/2021,2021,Break-up,-159.717404,61.582238,-,-,released,"Minor low land flooding of gravel pit, fuel dock, and low lying roads"
61,20200128181154,Malone,NY,Salmon River,01/22/2020,2020,Unknown,-74.295544,44.86204,-,-,released,"Report indicates that Lower Park Rd in Malone, NY is closed due an ice jam along the Salmon River."
62,20200317184706,Mayer,MN,South Fork Crow River,03/12/2020,2020,Breakup,-93.884722,44.905556,-,MAYM5,released,Minor flooding was reported briefly before the flooding subsided.
63,20200317184401,Howard,WI,Duck Creek,03/11/2020,2020,Breakup,-88.090526,44.546662,-,HOWW3,released,"Minor flooding was reported between Highway 29 and the bay of Green Bay which resulted in the closure of Pamperin Park in Howard, WI."
64,20200317183802,Perry Mills,NY,Great Chazy River,03/10/2020,2020,Breakup,-73.501389,45,-,CZRN6,released,Minor flooding occurred briefly but no damages were reported.
65,20200421195015,Anchor Point,AK,Anchor River,04/16/2020,2020,Breakup,-151.836389,59.772222,-,APBA2,released,Minor flooding reported in the vicinity of Old Sterling Highway Bridge.
66,20200121222845,Rome,WI,Bark River,01/19/2020,2020,Freeze-up,-88.6708,42.9604,-,ROMW3,released,-
67,20200121222635,Gillett,WI,Oconto River,01/18/2020,2020,Freeze-up,-88.3,44.864722,-,GILW3,released,-
68,20200121222451,Manitowoc,WI,Manitowoc River,01/17/2020,2020,Freeze-up,-87.715278,44.107222,-,MTTW3,released,-
69,20200121222012,Oconto,WI,Oconto River,01/17/2020,2020,Freeze-up,-87.983889,44.860556,-,OCTW3,released,-
70,20200121221507,Sherman,NE,Middle Loup River,01/19/2020,2020,Freeze-up,-98.988689,41.26975,-,-,released,-
71,20200121220713,Choteau,MT,Spring Creek,01/11/2020,2020,Freeze-up,-112.171595,47.808409,-,-,released,-
72,20200121220224,Cascade,MT,Missouri River,01/14/2020,2020,Freeze-up,-111.695088,47.268835,-,CASM8,released,-
73,20200121220015,Anoka,MN,Mississippi River,01/15/2020,2020,Freeze-up,-93.3944,45.1916,-,AKAM5,released,-
74,20200121215756,Dayton,IL,Fox River,01/19/2020,2020,Freeze-up,-88.789722,41.383889,-,DAYI2,released,-
75,20200121215334,Dixon,IL,Rock River,01/19/2020,2020,Freeze-up,-89.486111,41.844722,-,DXRI2,released,-
76,20200408171324,Warren,MN,Snake River,04/07/2020,2020,Breakup,-96.718056,48.209722,-,MKLM5,released,-
77,20200408170754,Crouseville,ME,Aroostook River,04/07/2020,2020,Breakup,-68.03297,46.72371,-,WSHM1,released,-
78,20200311133652,St. Peter,MN,Minnesota River,03/08/2020,2020,Breakup,-93.960083,44.307444,-,SPTM5,released,Highway 99 Bridge closed due to rising water.
79,20200226140438,Gresham,WI,Red  River,02/21/2020,2020,Unknown,-88.844167,44.898056,-,MORW3,released,-
80,20200311132835,New Ulm,MN,Cottonwood River,03/03/2020,2020,Breakup,-94.439722,44.289167,-,NWUM5,released,-
81,20200211212727,Washburn,ME,Aroostook River,02/07/2020,2020,Unknown,-68.149576,46.77181,-,-,released,-
82,20200114213124,Stratford,NH,Connecticut River,01/12/2020,2020,Freeze-up,-71.56253,44.651797,-,-,released,-
83,20200114212411,Soldotna,AK,Kenai River,01/05/2020,2020,Freeze-up,-151.120753,60.507023,-,SXRA2,released,flooding in the Riverside Drive Subdivision
84,20200114212120,Pembine,WI,Menominee River,01/09/2020,2020,Freeze-up,-87.786944,45.579444,-,PBIW3,released,No flooding reported
85,20200402144022,Neche,ND,Pembina River,03/31/2020,2020,Breakup,-97.556667,48.989722,-,-,released,-
86,20200402143718,Grand Forks,ND,Turtle River,03/31/2020,2020,Breakup,-97.185629,48.03045,-,-,released,-
87,20200311175256,Glasgow,MT,Willow Creek,03/03/2020,2020,Breakup,-106.609493,48.149566,-,-,released,-
88,20200311175116,Glendive,MT,Yellowstone River,03/02/2020,2020,Breakup,-104.7184,47.105888,-,GLNM8,released,-
89,20200311174907,New Ulm,MN,Minnesota River,03/04/2020,2020,Breakup,-93.960083,44.307444,-,NULM5,released,-
90,20200107210104,Bismarck,ND,Missouri River,01/01/2020,2020,Break-up: no flooding,-100.823325,46.811981,-,BIWN8,released,-
91,20200107205051,Willow,AK,Willow Creek,12/26/2019,2020,Frozen in place,-150.050069,61.764375,-,-,released,-
92,20200107204018,Great Falls,MT,Missouri River,12/31/2019,2020,Released,-111.313333,47.506944,-,GFSM8,released,-
93,20200107203708,Oconto,WI,Oconto River,12/30/2019,2020,Break-up: no flooding,-87.983889,44.860556,-,OCTW3,released,Minor flooding of roads and residences was reported.
94,20200107203027,Lewellen,NE,North Platte River,12/31/2019,2020,Break-up: no flooding,-102.125556,41.316944,-,LEWN1,released,-
95,20200512195505,Buckland,AK,Buckland River,05/09/2020,2020,Breakup,-161.127522,65.980518,-,-,released,-
96,20200512195256,Bishop Rock,AK,Yukon River,05/07/2020,2020,Breakup,-157.385139,64.813834,-,GYRA2,released,-
97,20200114212750,Swanton,VT,Missisquoi River,01/12/2020,2020,Freeze-up,-73.147665,44.94538,-,SWAV1,released,-
98,20200602191747,Deadhorse,AK,Kuparuk River,05/31/2020,2020,Breakup,-149.005903,70.329847,-,-,released,-
99,20200505205945,McGrath,AK,Kuskokwim River,05/03/2020,2020,Breakup,-155.58892,62.92823,-,-,released,-
100,20200505205833,Tuluksak,AK,Kuskokwim River,04/30/2020,2020,Breakup,-160.997083,61.107673,-,-,released,-
101,20200505205730,Napaimiut,AK,Kuskokwim River,04/29/2020,2020,Breakup,-158.672193,61.539284,-,-,released,-
102,20200505205623,Sleetmute,AK,Kuskokwim River,04/29/2020,2020,Breakup,-157.177633,61.707859,-,-,released,-
103,20200505205401,Tok,AK,Tanana River,04/30/2020,2020,Breakup,-143.143973,63.396421,-,-,released,-
104,20200505205228,North Pole,AK,Tanana River,04/29/2020,2020,Breakup,-147.295128,64.714487,-,-,released,-
105,20200204221749,Winona,MN,Mississippi River,01/30/2020,2020,Unknown,-91.502288,44.016489,-,-,released,-
106,20200204221424,Newhalen,AK,Newhalen River,01/31/2020,2020,Unknown,-154.896943,59.715723,-,-,released,Some minor flooding was reported in residential areas.
107,20200204220914,Scribner,NE,Elkhorn River,02/03/2020,2020,Unknown,-96.688187,41.708144,-,-,released,-
108,20200128184503,Fort Fairfield,ME,Aroostook River,01/22/2020,2020,Unknown,-67.833712,46.774168,-,-,released,-
109,20200128181616,Hogansburg,NY,St. Regis River,01/20/2020,2020,Freeze-up,-74.666561,44.96421,-,-,released,Minor residential flooding along with minor flooding in Jelly Beans Riverside Campground (no winter-time residents).
110,20200428210849,Crooked Creek,AK,Kuskokwim River,04/27/2020,2020,Breakup,-158.111389,61.869444,-,-,released,-
111,20200428210444,Olnes,AK,Chatanika River,04/24/2020,2020,Breakup,-147.74743,65.083247,-,-,released,-
112,20200428205807,Salcha,AK,Salcha River,04/23/2020,2020,Breakup,-146.932211,64.469261,-,-,released,-
113,20200428205446,Chicken,AK,Fortymile River,04/21/2020,2020,Breakup,-141.76597,64.057722,-,-,released,-
114,20200428205309,Fairbanks,AK,Chena River,04/23/2020,2020,Breakup,-147.6186,64.842503,-,-,released,-
115,20200428203801,Fairbanks,AK,Chena River,04/21/2020,2020,Breakup,-146.782026,64.861194,-,-,released,-
116,20200121221116,Virgelle,MT,Missouri River,01/11/2020,2020,Freeze-up,-110.250185,48.015308,-,-,released,-
117,20200219192630,Gillett,WI,Oconto River,02/14/2020,2020,Freeze-up,-88.3,44.864722,-,GILW3,released,-
118,20200219192316,Portage,WI,Wisconsin River,02/14/2020,2020,Freeze-up,-89.47383,43.53635,-,PORW3,released,-
119,20200219185651,Byron,IL,Rock River,02/14/2020,2020,Freeze-up,-89.255833,42.123056,-,BYRI2,released,-
120,20200219161457,Pembine,WI,Menominee River,02/16/2020,2020,Freeze-up,-87.786944,45.579444,-,PBIW3,released,-
121,20200219164630,Anoka,MN,Mississippi River,02/14/2020,2020,Freeze-up,-93.3944,45.1916,-,AKAM5,released,-
122,20200219155742,Fremont,NE,Platte River,02/15/2020,2020,Unknown,-96.528039,41.414403,-,-,released,-
123,20190226160805,Prophetstown,IL,Rock River,02/24/2019,2019,Unknown,-,-,-,-,Causing Flooding,-
124,20190212204913,Dorchester,IA,Upper Iowa River,02/12/2019,2019,Break-up,43.421111,-91.508611,-,-,Not Flooding,-
125,20190212204717,Royalton,MI,St. Joseph River,02/06/2019,2019,Break-up,42.05834167,-86.43978611,-,-,Causing Flooding,There is minor flooding that is occurring along that roadway and it potentially could be alleviated when the ice is free from the M-139 overpass.  7 houses are believed to currently be affected with basement/crawl space flooding.
126,20190212204430,Avoca,PA,Mill Creek,02/07/2019,2019,Break-up,41.34479444,-75.74434722,-,-,Not Flooding,-
127,20190212204201,Rimer,PA,Allegheny River,02/08/2019,2019,Break-up,40.921593,-79.489064,-,-,Unknown,"Section of Rimerton Road closed in Rimer, PA.
"
128,20190212203407,Grand Island,NE,Platte River,02/07/2019,2019,Break-up,40.82041111,-98.34036389,-,-,Causing Flooding,-
129,20190212203158,Clinton,WI,Turtle Creek,02/07/2019,2019,Break-up,42.5974,-88.8289,-,-,Not Flooding,-
130,20190212202923,Twin Bridges,MT,Jefferson River,02/05/2019,2019,Break-up,45.614167,-112.329167,-,-,Causing Flooding,-
131,20190212202543,Rotterdam,NY,Mohawk River,02/08/2019,2019,Break-up,42.84867222,-74.010825,-,-,Unknown,-
132,20190212202302,North Platte,NE,North Platte River,02/07/2019,2019,Break-up,41.154167,-100.758889,-,-,Not Flooding,-
133,20190212202039,New Boston,NH,South Branch Piscataquog River,02/06/2019,2019,Break-up,43.001371,-71.662213,-,-,Not Flooding,-
134,20190212201928,Eastmanville,MI,Grand River,02/09/2019,2019,Break-up,43.015175,-85.95554167,-,-,Not Flooding,-
135,20190212201817,Portland,MI,Grand River,02/06/2019,2019,Break-up,42.870582,-84.903221,-,-,Causing Flooding,-
136,20190212201548,Sunset Bay,NY,Cattaraugus Creek,02/05/2019,2019,Break-up,42.567636,-79.133204,-,-,Unknown,-
137,20190212201410,Evans,NY,Big Sister Creek,02/05/2019,2019,Break-up,42.657499,-79.059016,-,-,Unknown,-
138,20190212200848,Bonaparte,IA,Des Moines River,02/05/2019,2019,Break-up,40.69597222,-91.80315833,-,-,Unknown,-
139,20190212204015,Stryker,OH,Tiffin River,02/03/2019,2019,Break-up,41.504444,-84.429722,-,-,Not Flooding,-
140,20190212203526,Lewellen,NE,North Platte River,02/10/2019,2019,Unknown,41.316944,-102.125556,-,-,Not Flooding,-
141,20190212202430,Monroe,MI,River Raisin,02/08/2019,2019,Break-up,41.913333,-83.385,-,-,Causing Flooding,-
142,20190212202153,Lancaster,NY,Ellicott Creek,02/05/2019,2019,Break-up,42.93366944,-78.643225,-,-,Unknown,-
143,20190212203804,Newville,IN,St. Joseph River,02/03/2019,2019,Break-up,41.385278,-84.801667,-,-,Not Flooding,-
144,20190212202817,Dodge,WI,Trempealeau River,02/09/2019,2019,Unknown,44.13175,-91.55302778,-,-,Not Flooding,-
145,20190212202702,Ballston Spa,NY,Kayaderosseras Creek,02/09/2019,2019,Break-up,43.00956111,-73.84416667,-,-,Released,-
146,20190212201652,Brownhelm,OH,Vermilion River,02/07/2019,2019,Break-up,41.386882,-82.326344,-,-,Not Flooding,-
147,20181218144621,Jamestown,WY,Green River,12/12/2018,2019,Freeze-up,41.55128333,-109.5181917,-,GRRW4,Unknown,-
148,20190416163639,Fort Fairfield,ME,Aroostook River,04/16/2019,2019,Break-up,-,-,-,-,Unknown,-
149,20190416163550,Crouseville,ME,Aroostook River,04/15/2019,2019,Break-up,-,-,-,WSHM1,Released,-
150,20190416163454,Washburn,ME,Aroostook River,04/15/2019,2019,Break-up,-,-,-,WSHM1,Released,-
151,20190409140828,Grand Forks,ND,Red River of the North ,04/07/2019,2019,Break-up,-,-,05082500,EGFM5,Unknown,-
152,20190409140657,Walhalla,ND,Pembina River,04/07/2019,2019,Break-up,-,-,-,WLHN8,Not Flooding,-
153,20190409140538,Neche,ND,Pembina River,04/08/2019,2019,Break-up,-,-,-,NCEN8,Not Flooding,-
154,20190409140359,Warren,MN,Snake River,04/08/2019,2019,Break-up,-,-,-,MKLM5,Not Flooding,-
155,20190409140153,Minto,ND,Forest River,04/03/2019,2019,Break-up,-,-,05085000,MTON8,Not Flooding,-
156,20190409130304,Franconia,NH,Gale River,03/31/2019,2019,Break-up,-,-,-,-,Not Flooding,-
157,20190226160530,Ennis,MT,Madison River,02/20/2019,2019,Freeze-up,-,-,-,-,Causing Flooding,-
158,20190130122919,Brattleboro,VT,Whetstone Brook,01/24/2019,2019,Break-up,42.86682222,-72.61438889,-,-,Not Flooding,"Approximately 20 homes sustained damage and 75 people evacuated.  Flooding in parking lots, but no local businesses reported flooding."
159,20190205221201,Naperville,IL,Du Page River,02/04/2019,2019,Break-up,41.76931111,-88.14691111,-,-,Released,-
160,20190205220606,Columbus,NE,Platte River,02/05/2019,2019,Break-up,41.39819722,-97.28140556,-,-,Causing Flooding,-
161,20190205220452,Waterville,OH,Maumee River,02/04/2019,2019,Break-up,41.500053,-83.71271,-,-,Not Flooding,-
162,20190205220400,Painesville,OH,Grand River,02/04/2019,2019,Break-up,41.718889,-81.228056,-,-,Not Flooding,-
163,20190205220230,Augusta,IA,Skunk River,02/04/2019,2019,Break-up,40.753611,-91.276944,-,-,Causing Flooding,-
164,20190205215753,Houston,MN,Root River,02/04/2019,2019,Break-up,43.768611,-91.569722,-,-,Not Flooding,-
165,20190205215632,Maquoketa,IA,Maquoketa River,02/04/2019,2019,Break-up,42.083333,-90.632778,-,-,Causing Flooding,-
166,20190205215304,West Seneca,NY,Buffalo Creek,02/04/2019,2019,Break-up,42.85471389,-78.75535,-,-,Causing Flooding,-
167,20190205214744,Riverside,IL,Des Plaines River,02/04/2019,2019,Break-up,41.821667,-87.821944,-,-,Not Flooding,-
168,20190205214645,Kouts,IL,Kankakee River,02/04/2019,2019,Break-up,41.253889,-87.033889,-,-,Not Flooding,-
169,20190205214054,Garber,IA,Turkey River,02/04/2019,2019,Break-up,42.74,-91.261667,-,-,Not Flooding,-
170,20190205213948,Viola,WI,Kickapoo River,02/04/2019,2019,Break-up,43.5061,-90.6739,-,-,Not Flooding,-
171,20190205213726,Ewing,MO,North Fabius River,02/04/2019,2019,Break-up,40.018889,-91.621944,-,-,Not Flooding,-
172,20190205213401,Lafayette,IN,Wildcat Creek,02/03/2019,2019,Break-up,40.46944167,-86.85707222,-,-,Not Flooding,-
173,20190130123659,Springfield,VT,Black River,01/24/2019,2019,Break-up,43.31838611,-72.5056,-,-,Not Flooding,-
174,20190205215452,Covington,IN,Wabash River,02/04/2019,2019,Break-up,40.14,-87.406667,-,-,Causing Flooding,-
175,20190205215200,West Seneca,NY,Cazenovia Creek,02/04/2019,2019,Break-up,42.82523333,-78.75338056,-,-,Causing Flooding,-
176,20190205215007,St. Francisville,IA,Des Moines River,02/04/2019,2019,Break-up,40.4625,-91.566944,-,-,Not Flooding,-
177,20190205214546,Rockton,IL,Rock River,01/30/2019,2019,Freeze-up,42.450278,-89.0725,-,-,Not Flooding,-
178,20190205213838,Beetown,WI,Rattlesnake Creek,02/03/2019,2019,Break-up,42.77442222,-90.921875,-,-,Not Flooding,-
179,20190205213549,Ewing,MO,Middle Fabius River,02/04/2019,2019,Break-up,40.028889,-91.705556,-,-,Causing Flooding,-
180,20190201172740,Honor,MI,Platte River,01/30/2019,2019,Freeze-up,44.66137778,-86.02325556,-,-,Causing Flooding,-
181,20190205221339,Streator,IL,Vermilion River,02/05/2019,2019,Break-up,41.19311389,-88.90340556,-,-,Unknown,-
182,20190205220758,Campbell,NY,Cohocton River,02/05/2019,2019,Break-up,42.23128333,-77.19872778,-,-,Causing Flooding,-
183,20190205220048,Lone Tree,IA,Iowa River,02/04/2019,2019,Break-up,41.423889,-91.478611,-,-,Causing Flooding,-
184,20190205215934,Gregory Landing,MO,Mississippi River,02/04/2019,2019,Break-up,40.279167,-91.495833,-,-,Causing Flooding,-
185,20190205214843,Byron,IL,Rock River,02/01/2019,2019,Freeze-up,42.123056,-89.255833,-,-,Not Flooding,-
186,20190205214441,Ottawa,IL,Illinois River,02/04/2019,2019,Break-up,41.344444,-88.839167,-,-,Not Flooding,-
187,20190205214251,Manitowoc,WI,Manitowoc River,02/04/2019,2019,Break-up,44.107222,-87.715278,-,-,Not Flooding,-
188,20190205214153,greenleaf,WI,East River,02/04/2019,2019,Break-up,44.371944,-88.092222,-,-,Not Flooding,-
189,20190201170757,Newaygo,MI,Muskegon River,01/30/2019,2019,Freeze-up,43.416944,-85.808333,-,NEWM4,Causing Flooding,-
190,20190130125043,Peterborough,NH,Contoocook River,01/24/2019,2019,Break-up,42.86667222,-71.94955556,-,-,Not Flooding,-
191,20190130124813,Athol,MA,Millers River,01/24/2019,2019,Break-up,42.59323611,-72.23925278,-,-,Not Flooding,-
192,20190129215718,Albany,NY,Hudson River,01/25/2019,2019,Break-up,42.65440556,-73.74129444,-,-,Not Flooding,-
193,20190129215511,Afton,WI,Rock River,01/25/2019,2019,Freeze-up,42.613611,-89.0715,-,-,Causing Flooding,-
194,20190129215252,Waterbury,VT, Winooski River,01/24/2019,2019,Break-up,44.30215833,-72.69642222,-,-,Not Flooding,-
195,20190129214656,Vermilion,OH,Vermilion River,01/23/2019,2019,Break-up,41.42286944,-82.36043056,-,-,Unknown,-
196,20190129214339,Eastlake,OH,Chagrin River,01/23/2019,2019,Break-up,41.67546944,-81.43598611,-,-,Unknown,-
197,20190129213344,Schenectady,NY,Mohawk River,01/24/2019,2019,Break-up,42.82935278,-73.93052778,-,-,Not Flooding,-
198,20190129213215,Granville,NY,Mettawee River,01/24/2019,2019,Break-up,43.46388889,-73.28416667,-,-,Not Flooding,-
199,20190129213046,Riparius,NY,Hudson River,01/22/2019,2019,Freeze-up,43.65578611,-73.89538611,-,-,Not Flooding,-
200,20190129212535,Gardenville,NY,Buffalo Creek,01/25/2019,2019,Break-up,42.85472222,-78.755,-,-,Not Flooding,-
201,20190129211948,Terry,MT,Yellowstone River,01/21/2019,2019,Freeze-up,46.79958611,-105.3742222,-,-,Not Flooding,-
202,20190129211844,Wolf Point,MT, Missouri River,01/20/2019,2019,Freeze-up,48.067325,-105.5330972,-,-,Not Flooding,-
203,20190129205344,Fort Kent,CT, Housatonic River,01/25/2019,2019,Break-up,41.71584167,-73.48279167,-,-,Not Flooding,-
204,20190129214130,Rockingham,NY,Williams River,01/24/2019,2019,Break-up,43.19166667,-72.48555556,-,-,Not Flooding,-
205,20190129212656,Upper Jay,NY,East Branch Ausable River,01/24/2019,2019,Break-up,44.33583889,-73.77538056,-,-,Not Flooding,-
206,20190129212255,Gibbon,NE,Platte River,01/25/2019,2019,Unknown,40.71593056,-98.73498056,-,-,Not Flooding,-
207,20190129211736,East China,MI,St. Clair River,01/24/2019,2019,Break-up,42.70343611,-82.49261944,-,-,Causing Flooding,-
208,20190129211414,Eddington,ME,Penobscot River,01/22/2019,2019,Freeze-up,44.826667,-68.696667,-,-,Not Flooding,-
209,20190129215910,Tunbridge,VT,White River,01/28/2019,2019,Break-up,43.886,-72.49703333,-,-,Unknown,-
210,20190129215334,Richmond,VT, Winooski River,01/24/2019,2019,Break-up,44.40105556,-72.99727778,-,-,Not Flooding,-
211,20190129215158,Barre,VT,Stevens Branch,01/24/2019,2019,Break-up,44.19638889,-72.50350833,-,-,Not Flooding,-
212,20190129215052,East Haven,VT,Passumpsic River,01/24/2019,2019,Break-up,44.63388889,-71.89805556,-,-,Not Flooding,-
213,20190129214930,Lincoln,VT,New Haven River,01/24/2019,2019,Break-up,44.10556389,-72.99718056,-,-,Not Flooding,-
214,20190129214822,Moretown,VT,Mad River,01/24/2019,2019,Break-up,44.27722222,-72.74305556,-,-,Not Flooding,-
215,20190129213925,Delhi,NY,West Branch Delaware River,01/24/2019,2019,Break-up,42.29834167,-74.87913889,-,-,Not Flooding,-
216,20190129213712,Whitesboro,NY, Sauquoit Creek,01/24/2019,2019,Break-up,43.11144444,-75.294,-,-,Unknown,-
217,20190129213458,Niagara Falls,NY,Niagara River,01/26/2019,2019,Unknown,43.06716389,-78.97106667,-,-,Not Flooding,-
